q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K6B1_11,k6_b1_khai_niem_loi_ich,Tình huống lớp cần cùng đọc 1 cuốn sách: giải pháp phù hợp?,Mỗi bạn mua một bản giấy,Thư viện số cho phép nhiều HS đọc cùng lúc,Mượn luân phiên trong tuần,Chụp ảnh chia sẻ qua chat,B,Vận dụng,Chủ đề B – Bài 1
K6B1_12,k6_b1_khai_niem_loi_ich,Cần gửi thông báo nhanh cho toàn bộ lớp qua mạng:,Viết giấy phát tay,In và phát tận nơi,Dùng email/nhóm trực tuyến để trao đổi thông tin,Chờ họp lớp rồi nói,C,Vận dụng,Chủ đề B – Bài 1
K6B2_01,k6_b2_thanh_phan_mang,Ba thành phần CHÍNH của mạng máy tính gồm:,Thiết bị mạng; ổ cứng; bàn phím,Các máy/thiết bị; thiết bị mạng; phần mềm mạng,Chỉ có cáp mạng; switch; modem,Chỉ có máy chủ,B,Nhận biết,Chủ đề B – Bài 2
K6B2_02,k6_b2_thanh_phan_mang,Thiết bị mạng có chức năng chính là:,Lưu trữ dữ liệu,Tăng tốc CPU,Kết nối và chuyển dữ liệu giữa các máy,Cài phông chữ,C,Nhận biết,Chủ đề B – Bài 2
K6B2_03,k6_b2_thanh_phan_mang,Switch là gì?,Máy in,Màn hình,Bộ chia/kết nối cho nhiều cổng mạng,Ổ quang,C,Nhận biết,Chủ đề B – Bài 2
K6B2_04,k6_b2_thanh_phan_mang,Modem dùng để:,Gõ văn bản,Phát nhạc,Chuyển đổi tín hiệu nhà mạng thành dữ liệu cho mạng gia đình,Chụp ảnh,C,Nhận biết,Chủ đề B – Bài 2
K6B2_05,k6_b2_thanh_phan_mang,Hai loại cáp mạng thông dụng là:,Cáp USB và HDMI,Cáp VGA và DVI,Cáp xoắn (đồng) và cáp quang,Cáp nguồn và cáp loa,C,Nhận biết,Chủ đề B – Bài 2
K6B2_06,k6_b2_thanh_phan_mang,Cáp xoắn UTP truyền tín hiệu bằng:,Ánh sáng,Dòng điện,Sóng âm,Khói,B,Nhận biết,Chủ đề B – Bài 2
K6B2_07,k6_b2_thanh_phan_mang,Phần mềm mạng là:,Phần mềm giúp giao tiếp và truyền thông tin qua mạng,Chỉ game,Chỉ hệ điều hành,Chỉ trình soạn thảo,A,Thông hiểu,Chủ đề B – Bài 2
K6B2_08,k6_b2_thanh_phan_mang,Vì sao cần thiết bị mạng khi nhiều máy cùng kết nối?,Để đẹp phòng máy,Để mạng ổn định và mở rộng số cổng kết nối,Để tắt Wi-Fi,Để tăng dung lượng ổ C:,B,Thông hiểu,Chủ đề B – Bài 2
K6B2_09,k6_b2_thanh_phan_mang,Điểm khác biệt cáp quang so với cáp xoắn:,Dùng đồng; truyền điện,Dùng ánh sáng; lõi trong suốt,Dùng hơi nước,Dùng sóng âm,B,Thông hiểu,Chủ đề B – Bài 2
K6B2_10,k6_b2_thanh_phan_mang,Trong sơ đồ mạng: máy tính ↔ switch ↔ máy tính nghĩa là:,Không truyền được dữ liệu,Truyền qua switch là thiết bị trung gian kết nối,Phải thêm modem,Chỉ dùng Wi-Fi,B,Thông hiểu,Chủ đề B – Bài 2
K6B2_11,k6_b2_thanh_phan_mang,Phòng máy có 24 máy nhưng switch 16 cổng: giải pháp?,Bỏ bớt máy,Kết nối thêm một switch khác,Chuyển sang Bluetooth,Tắt 8 máy,B,Vận dụng,Chủ đề B – Bài 2
K6B2_12,k6_b2_thanh_phan_mang,Quan sát thiết bị: đèn cổng mạng tắt cho biết gì?,Đang truyền dữ liệu,Cổng không hoạt động/kết nối chưa thông,Thiết bị hỏng hoàn toàn,Đang in,C,Vận dụng,Chủ đề B – Bài 2
K6B3_01,k6_b3_co_day_khong_day,Mạng có dây là:,Mạng dùng sóng điện từ,Mạng dùng dây cáp để truyền dữ liệu,Mạng di động,Mạng xã hội,B,Nhận biết,Chủ đề B – Bài 3
K6B3_02,k6_b3_co_day_khong_day,Thiết bị CƠ BẢN của mạng có dây:,Access Point,Switch,Loa,Remote,B,Nhận biết,Chủ đề B – Bài 3
K6B3_03,k6_b3_co_day_khong_day,Mạng không dây là:,Mạng dùng sóng điện từ để truyền thông tin,Mạng dùng hồng ngoại,Mạng chỉ dành cho TV,Mạng không có bảo mật,A,Nhận biết,Chủ đề B – Bài 3
K6B3_04,k6_b3_co_day_khong_day,Thiết bị CƠ BẢN của mạng không dây:,Switch,Modem,Access Point,Card đồ họa,C,Nhận biết,Chủ đề B – Bài 3
K6B3_05,k6_b3_co_day_khong_day,Loa Bluetooth kết nối với điện thoại thuộc kiểu:,Có dây,Không dây,Không phải mạng,Chỉ âm thanh,B,Nhận biết,Chủ đề B – Bài 3
K6B3_06,k6_b3_co_day_khong_day,TV điều khiển bằng remote là ví dụ của:,Kết nối sóng không dây,Kết nối cáp mạng,Kết nối quang,Không là kết nối,A,Nhận biết,Chủ đề B – Bài 3
K6B3_07,k6_b3_co_day_khong_day,Vì sao nhiều phòng máy vẫn dùng mạng có dây?,Rẻ hơn modem,Đẹp hơn,Ổn định, ít nhiễu hơn sóng; phù hợp nhiều máy cố định,Dễ di chuyển máy hơn,C,Thông hiểu,Chủ đề B – Bài 3
K6B3_08,k6_b3_co_day_khong_day,Khi nào mạng không dây tiện dụng hơn?,Máy tính cố định sát nhau,Khi khoảng cách xa/địa hình khó đi dây/thiết bị di động,Khi phòng trống,Khi mất điện,B,Thông hiểu,Chủ đề B – Bài 3
K6B3_09,k6_b3_co_day_khong_day,Access Point có vai trò chính:,Thiết lập máy in,Mở rộng vùng phủ và trung chuyển tín hiệu không dây,Lưu dữ liệu,Quét virus,B,Thông hiểu,Chủ đề B – Bài 3
K6B3_10,k6_b3_co_day_khong_day,Cáp mạng vẫn cần trong hệ thống Wi-Fi vì:,Cho đẹp,Đưa tín hiệu xuyên tường đến các AP ở phòng/tầng khác,Chỉ để sạc,Không lý do,B,Thông hiểu,Chủ đề B – Bài 3
K6B3_11,k6_b3_co_day_khong_day,Lắp mạng cho dãy nhà nhiều tầng: phương án hợp lí:,Chỉ đặt một AP ở tầng 1,Dùng cáp kéo tới mỗi tầng và gắn AP từng tầng,Dùng Bluetooth,Dùng TV box,B,Vận dụng,Chủ đề B – Bài 3
K6B3_12,k6_b3_co_day_khong_day,Phòng tin cần 20 máy ổn định: chọn phương án?,Phát Wi-Fi từ 1 điện thoại,Router + Switch đi dây tới từng máy,Chỉ Wi-Fi yếu,Hotspot từ 1 PC,B,Vận dụng,Chủ đề B – Bài 3
K6B4_01,k6_b4_thuc_hanh,Trong phòng thực hành, thao tác cơ bản với cáp UTP là:,Chỉ ngắm nhìn,Cắm/rút đúng chuẩn cổng RJ-45 khi được hướng dẫn,Đấu nối điện 220V,Phơi nắng cho khô,B,Nhận biết,Chủ đề B – Bài 4
K6B4_02,k6_b4_thuc_hanh,Quan sát cáp quang ta thấy:,Ruột đồng dày,Ánh sáng truyền trong lõi trong suốt,Dòng nước chảy,Không có lõi,B,Nhận biết,Chủ đề B – Bài 4
K6B4_03,k6_b4_thuc_hanh,USB Wi-Fi dùng để:,Kết nối máy tính với mạng không dây,Phát nhạc,Tăng dung lượng RAM,In tài liệu,A,Nhận biết,Chủ đề B – Bài 4
K6B4_04,k6_b4_thuc_hanh,Tải tệp từ Internet là ví dụ của:,Sao chép nội bộ,Trao đổi thông tin qua mạng,Đổi phần mở rộng tệp,Tắt máy,B,Nhận biết,Chủ đề B – Bài 4
K6B4_05,k6_b4_thuc_hanh,Chia sẻ máy in trong mạng giúp:,Mỗi máy bắt buộc mua máy in riêng,Tất cả máy trong mạng có thể in qua máy in mạng,Giảm chất lượng giấy,Tự động lưu mật khẩu,B,Nhận biết,Chủ đề B – Bài 4
K6B4_06,k6_b4_thuc_hanh,Đèn báo trên cổng switch sáng nhấp nháy thể hiện:,Không kết nối,Đang có lưu lượng truyền,Thiết bị hỏng,Đang in,B,Nhận biết,Chủ đề B – Bài 4
K6B4_07,k6_b4_thuc_hanh,Vì sao trò chơi “ai phát nhạc Bluetooth nhanh nhất” minh họa mạng không dây?,Vì dùng dây nối,Do phát nhạc qua sóng điện từ giữa thiết bị,Do loa to,Do mạng LAN,C,Thông hiểu,Chủ đề B – Bài 4
K6B4_08,k6_b4_thuc_hanh,Kết nối PC qua USB Wi-Fi cần bước nào?,Cắm thiết bị, chọn mạng, nhập mật khẩu (nếu có),Rút cáp nguồn,Đổi tên máy in,Định dạng ổ C:,A,Thông hiểu,Chủ đề B – Bài 4
K6B4_09,k6_b4_thuc_hanh,Lợi ích thực hành “in qua máy in mạng” giúp HS hiểu rõ:,Khái niệm CPU,Khái niệm chia sẻ tài nguyên phần cứng qua mạng,Khái niệm đồ họa,Khái niệm bàn phím,B,Thông hiểu,Chủ đề B – Bài 4
K6B4_10,k6_b4_thuc_hanh,Quan sát switch: nếu số máy cần nối > số cổng, ta nên:,Bỏ bớt máy,Tắt đèn,Đấu thêm switch khác hợp lý,Tăng âm lượng,C,Thông hiểu,Chủ đề B – Bài 4
K6B4_11,k6_b4_thuc_hanh,Bài thực hành yêu cầu tải tệp từ web: bước an toàn hợp lí là:,Bấm mọi link lạ,Mở file .exe không rõ nguồn,Chỉ tải từ nguồn tin cậy GV hướng dẫn,Dùng tài khoản người lạ,C,Vận dụng,Chủ đề B – Bài 4
K6B4_12,k6_b4_thuc_hanh,Sau khi dùng máy ở phòng thực hành, việc nên làm:,Để nguyên đăng nhập,Tháo hết dây mạng,Đăng xuất tài khoản và kiểm tra thiết bị,Đổi mật khẩu của bạn khác,C,Vận dụng,Chủ đề B – Bài 4
