q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K7E2_04,E2_Trang_tinh_va_thanh_phan,Tên hàng được đặt theo gì,Số 1 2 3,Chữ cái A B C,Ngày tháng,Màu sắc,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 2
K7E2_05,E2_Trang_tinh_va_thanh_phan,Địa chỉ ô được ghi theo dạng nào,Tên cột ghép với tên hàng,Tên hàng trước rồi tên cột,Số thứ tự ô,Màu của ô,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 2
K7E2_06,E2_Trang_tinh_va_thanh_phan,Dấu hiệu cho biết ô đang được chọn,Ô có viền đậm và con trỏ nháy,Ô tự đổi nền đỏ,Cột biến mất,Hàng biến mất,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 2
K7E2_07,E2_Trang_tinh_va_thanh_phan,Điều chỉnh độ rộng cột như thế nào,Kéo vạch phân chia giữa hai tên cột,Nhấn Delete,Mở File rồi Print,Chọn Insert,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 2
K7E2_08,E2_Trang_tinh_va_thanh_phan,Cách chèn thêm một cột trong Excel,Chọn tên cột rồi dùng Home Insert,Chọn tên hàng rồi nhấn Delete,Ghi chú vào ô,Đổi màu nền,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 2
K7E2_09,E2_Trang_tinh_va_thanh_phan,Khi nhập dữ liệu vào ô thì kết thúc lúc nào,Khi chuyển sang ô khác,Khi tắt máy,Khi mở trình duyệt,Khi nhấn phím Esc,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 2
K7E2_10,E2_Trang_tinh_va_thanh_phan,Chọn cả một cột số liệu nhanh nhất như thế nào,Nháy vào tên cột để chọn toàn cột,Kéo chuột từ trên xuống,Ghi số thứ tự vào cột,Mở hộp tên,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 2
K7E2_11,E2_Trang_tinh_va_thanh_phan,Chèn một hàng mới bên trên hàng đã chọn như thế nào,Chọn hàng rồi dùng Home Insert,Chọn hàng rồi nhấn phím Comma,Chọn cột rồi nhấn Print,Chọn ô bất kì rồi nhấn Esc,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 2
K7E2_12,E2_Trang_tinh_va_thanh_phan,Đổi tên trang tính như thế nào,Nháy đúp tên Sheet rồi gõ tên mới,Nhấn Delete tên Sheet,Vào File rồi Print,Nhấn nút Sigma,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 2
K7E3_01,E3_Hop_ten_khoi_o_va_sao_chep,Hộp tên trong Excel hiển thị gì,Địa chỉ của ô đang chọn,Tổng giá trị của cột,Số hàng của bảng,Số cột của bảng,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 3
K7E3_02,E3_Hop_ten_khoi_o_va_sao_chep,Thanh công thức hiển thị gì,Nội dung dữ liệu của ô đang chọn,Danh sách tệp trong thư mục,Hình nền máy tính,Âm thanh hệ thống,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 3
K7E3_03,E3_Hop_ten_khoi_o_va_sao_chep,Công thức trong Excel bắt đầu bằng kí tự nào,Dấu bằng,Dấu cộng,Dấu phẩy,Dấu chấm,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 3
K7E3_04,E3_Hop_ten_khoi_o_va_sao_chep,Khối ô là gì,Nhóm ô liền kề tạo thành hình chữ nhật,Một ô duy nhất,Một hàng tiêu đề,Một cột riêng lẻ,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 3
K7E3_05,E3_Hop_ten_khoi_o_va_sao_chep,Địa chỉ khối ô được viết như thế nào,Cặp địa chỉ ô góc trên trái và dưới phải cách nhau bằng dấu hai chấm,Ghi tên hàng trước,Ghi tên cột trước rồi thêm dấu phẩy,Ghi số thứ tự khối,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 3
K7E3_06,E3_Hop_ten_khoi_o_va_sao_chep,Cách chọn khối ô bằng chuột,Giữ và kéo thả chuột để bôi các ô cần chọn,Nhấn Print,Nhấn Esc,Ghi lại bằng tay,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 3
K7E3_07,E3_Hop_ten_khoi_o_va_sao_chep,Thanh trạng thái có thể hiện thông tin nào khi chọn khối ô,Count và Sum và Average của khối,Tên người dùng,Mật khẩu máy tính,Số lỗi hệ thống,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 3
K7E3_08,E3_Hop_ten_khoi_o_va_sao_chep,Di chuyển khối ô đến vị trí mới như thế nào,Trỏ vào đường viền của khối rồi kéo thả,Nhấn F1 liên tục,Đổi tên Sheet,Nhấn phần trăm,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 3
K7E3_09,E3_Hop_ten_khoi_o_va_sao_chep,Sao chép khối ô bằng phím tắt nào,Ctrl C và Ctrl V,Ctrl X và Ctrl Z,Alt Tab,Win D,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 3
K7E3_10,E3_Hop_ten_khoi_o_va_sao_chep,Tính BMI cho nhiều dòng theo cùng công thức dùng công cụ nào,Kéo tay nắm ô để tự động điền công thức,In ngay bảng tính,Đổi màu nền,Chèn hình ảnh,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 3
K7E3_11,E3_Hop_ten_khoi_o_va_sao_chep,Nếu đích đến của khối ô đã có dữ liệu cần làm gì,Kiểm tra để tránh ghi đè dữ liệu cũ,Xoá toàn bộ dữ liệu cũ,Tắt chuột,Đổi máy tính khác,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 3
K7E3_12,E3_Hop_ten_khoi_o_va_sao_chep,Chèn khối ô mà không đè lên dữ liệu có sẵn như thế nào,Giữ phím Shift khi kéo thả khối ô,Nhấn F2 nhiều lần,Mở hộp tên rồi gõ,Nhấn dấu bằng một mình,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 3
K7E4_01,E4_Dinh_dang_bang_tinh,Căn lề trái phải giữa là thuộc tính của gì,Định dạng ô dữ liệu,Định dạng trang tính,Định dạng sổ tính,Định dạng công thức,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 4
K7E4_02,E4_Dinh_dang_bang_tinh,Bold Italic Underline là nhóm định dạng nào,Định dạng chữ cơ bản,Định dạng công thức,Định dạng biểu đồ,Bộ lọc dữ liệu,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 4
K7E4_03,E4_Dinh_dang_bang_tinh,Thay đổi cỡ chữ thường ở đâu,Thanh Home,Thẻ View,Thẻ Data,Thẻ Formulas,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 4
K7E4_04,E4_Dinh_dang_bang_tinh,Chức năng Merge and Center dùng để làm gì,Gộp các ô và căn giữa,Gộp tệp,Chèn ảnh,Chèn biểu đồ,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 4
K7E4_05,E4_Dinh_dang_bang_tinh,Border dùng để làm gì,Kẻ đường viền cho bảng,Chèn công thức,Tính tổng,Mở tệp,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 4
K7E4_06,E4_Dinh_dang_bang_tinh,Vai trò của Format Cells là gì,Chỉnh dạng số chữ ngày tháng,In tệp,Tạo trang mới,Mở trình duyệt,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 4
K7E4_07,E4_Dinh_dang_bang_tinh,Vì sao nên dùng màu nền và viền hợp lí,Giúp bảng dễ đọc và rõ nhóm dữ liệu,Giúp máy nhanh hơn,Giúp tệp nhẹ hơn,Tạo công thức tự động,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 4
K7E4_08,E4_Dinh_dang_bang_tinh,Number Format là gì,Định dạng hiển thị kiểu số,Lựa chọn biểu đồ,Chế độ xem in,Chế độ chia sẻ,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 4
K7E4_09,E4_Dinh_dang_bang_tinh,Wrap Text dùng khi nào,Nội dung dài cần xuống dòng trong ô,Cần dời công thức,Cần xoá cột,Cần ẩn hàng,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 4
K7E4_10,E4_Dinh_dang_bang_tinh,Nối tiêu đề bảng qua bốn ô liền kề nên làm gì,Chọn bốn ô rồi dùng Merge and Center,Chèn biểu đồ,Mở tệp khác,In ngay,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 4
K7E4_11,E4_Dinh_dang_bang_tinh,Nhấn mạnh cột Điểm trung bình nên làm gì,Dùng chữ đậm và nền nhạt,Đổi tên Sheet,Xoá các cột khác,Ẩn dòng đầu,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 4
K7E4_12,E4_Dinh_dang_bang_tinh,Số điện thoại mất số 0 đầu dòng xử lí ra sao,Định dạng Text trước khi nhập,Chuyển sang biểu đồ,Đổi tên cột,Ghép ô,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 4
K7E5_01,E5_Cong_thuc_va_ham,Hàm là gì,Lệnh có sẵn để tính toán nhanh,Ảnh chụp màn hình,Tệp âm thanh,Bộ lọc dữ liệu,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 5
K7E5_02,E5_Cong_thuc_va_ham,Kí tự bắt đầu công thức trong bảng tính,Dấu bằng,Dấu cộng,Dấu chấm,Dấu gạch,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 5
K7E5_03,E5_Cong_thuc_va_ham,Ví dụ hàm tính tổng,SUM,AVG,MAXMIN,COUNTIF,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 5
K7E5_04,E5_Cong_thuc_va_ham,Hàm AVERAGE dùng để,Tính giá trị trung bình,Tính giá trị lớn nhất,Tính giá trị nhỏ nhất,Đếm số ô có số,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 5
K7E5_05,E5_Cong_thuc_va_ham,MAX và MIN dùng để,Tìm giá trị lớn nhất và nhỏ nhất,Đếm chữ cái,Tạo biểu đồ,Chèn hình,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 5
K7E5_06,E5_Cong_thuc_va_ham,Hàm COUNT dùng để làm gì,Đếm số ô chứa số,Đếm kí tự,Đếm tệp,Đếm số Sheet,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 5
K7E5_07,E5_Cong_thuc_va_ham,Việc dùng địa chỉ khối A1 đến A10 trong hàm nghĩa là,Áp dụng cho dải từ A1 đến A10,Chỉ áp dụng A1 và A10,Áp dụng cho một ô,Áp dụng cho hàng 1,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 5
K7E5_08,E5_Cong_thuc_va_ham,Kéo tay nắm ô giúp việc gì,Sao chép công thức xuống nhiều dòng,Chèn biểu đồ,In tệp,Mở tệp,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 5
K7E5_09,E5_Cong_thuc_va_ham,Khác nhau giữa công thức và hàm,Công thức do người dùng lập còn hàm là lệnh có sẵn,Hai khái niệm giống nhau,Chỉ dùng trong Word,Chỉ dùng trong PowerPoint,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 5
K7E5_10,E5_Cong_thuc_va_ham,Tính tổng cột C từ hàng 2 đến 15 nên dùng,SUM C2 đến C15,MAX C2 đến C15,MIN C2 đến C15,AVERAGE C2 đến C15,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 5
K7E5_11,E5_Cong_thuc_va_ham,Tính điểm trung bình môn Toán cho mười bạn nên dùng,AVERAGE D2 đến D11,SUM D2 đến D11,MAX D2 đến D11,COUNT D2 đến D11,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 5
K7E5_12,E5_Cong_thuc_va_ham,Tìm chiều cao lớn nhất trong cột E nên dùng,MAX E2 đến E40,AVERAGE E2 đến E40,SUM E2 đến E40,COUNT E2 đến E40,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 5
K7E6_01,E6_Sap_xep_va_loc,Sắp xếp dữ liệu dùng để làm gì,Đặt lại thứ tự theo tiêu chí,Chèn biểu đồ,Ghi âm,Mở tệp,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 6
K7E6_02,E6_Sap_xep_va_loc,Filter dùng để làm gì,Lọc hiển thị theo điều kiện,In tệp,Chèn ảnh,Chèn công thức,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 6
K7E6_03,E6_Sap_xep_va_loc,Sắp xếp tăng dần nghĩa là gì,Từ nhỏ đến lớn,Từ lớn đến nhỏ,Theo màu nền,Theo độ rộng cột,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 6
K7E6_04,E6_Sap_xep_va_loc,Bộ lọc tự động thường nằm ở đâu,Nhóm Data,Nhóm View,Nhóm Formulas,Nhóm Review,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 6
K7E6_05,E6_Sap_xep_va_loc,Lọc điều kiện lớn hơn 8 áp dụng cho kiểu dữ liệu nào,Số,Chữ,Ảnh,Âm thanh,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 6
K7E6_06,E6_Sap_xep_va_loc,Vì sao đôi khi nên sắp xếp trước rồi mới lọc,Để dễ nhìn và kiểm tra kết quả,Để in nhanh hơn,Để giảm dung lượng,Để thay đổi công thức,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 6
K7E6_07,E6_Sap_xep_va_loc,Lọc nhiều điều kiện có thể thực hiện bằng gì,Filter nâng cao hoặc đặt nhiều tiêu chí,Chèn hình,In nhanh,Ghép ô,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 6
K7E6_08,E6_Sap_xep_va_loc,Sắp xếp theo hai khoá ví dụ Lớp và Tên thì ưu tiên thế nào,Theo Lớp rồi đến Tên,Theo Tên trước,Theo màu nền,Theo độ rộng cột,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 6
K7E6_09,E6_Sap_xep_va_loc,Dữ liệu có dấu cách thừa trước sau nên xử lí ra sao,Dùng Trim hoặc sửa lại trước khi sắp xếp và lọc,Chèn biểu đồ,Ẩn cột,In trang,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 6
K7E6_10,E6_Sap_xep_va_loc,Lọc danh sách bạn có điểm trung bình lớn hơn 8 làm thế nào,Đặt Filter cho cột điểm trung bình rồi chọn điều kiện lớn hơn 8,In ngay,Chèn công thức mới,Ẩn cột,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 6
K7E6_11,E6_Sap_xep_va_loc,Xếp danh sách theo Tên rồi theo Điểm giảm dần làm thế nào,Sort theo Tên sau đó thêm Sort theo Điểm giảm dần,Chỉ lọc,Chỉ chèn ảnh,Chỉ đổi tên Sheet,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 6
K7E6_12,E6_Sap_xep_va_loc,Bộ lọc đang bật khiến mất dữ liệu hiển thị cần làm gì,Clear Filter để xem toàn bộ,In ngay,Mở tệp mới,Ghép ô,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 6
K7E7_01,E7_Bieu_do,Biểu đồ trong bảng tính dùng để làm gì,Trình bày dữ liệu trực quan,Lưu tệp âm thanh,Tạo thư mục,In trang,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 7
K7E7_02,E7_Bieu_do,Loại biểu đồ phù hợp cho số liệu theo thời gian,Line,Column,Bar,Scatter,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 7
K7E7_03,E7_Bieu_do,Loại biểu đồ phù hợp so sánh các lớp tại một thời điểm,Column,Line,Area,Scatter,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 7
K7E7_04,E7_Bieu_do,Thành phần Chart Title dùng để làm gì,Hiển thị tiêu đề biểu đồ,Lọc dữ liệu,Chèn hình ảnh,Đếm số ô,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 7
K7E7_05,E7_Bieu_do,Legend trên biểu đồ cho biết điều gì,Chú thích các chuỗi dữ liệu,Số trang in,Đơn vị đo,Màu nền trang,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 7
K7E7_06,E7_Bieu_do,Chọn đúng khối dữ liệu trước khi chèn biểu đồ giúp gì,Tránh thiếu hoặc dư cột hàng,Thêm tệp âm thanh,Tăng dung lượng tệp,In nhanh hơn,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 7
K7E7_07,E7_Bieu_do,Khác nhau chính giữa Column và Bar là gì,Hướng cột đứng hay ngang,Số màu mặc định,Độ rộng cột,Số chú thích,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 7
K7E7_08,E7_Bieu_do,Đặt Data Labels có ích khi nào,Cần hiển thị giá trị trên cột dữ liệu,Cần xoá biểu đồ,Cần thêm bộ lọc,Cần ghép ô,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 7
K7E7_09,E7_Bieu_do,Pie chart phù hợp khi nào,Tỉ lệ thành phần của một tổng,Đường biến động theo thời gian,Sơ đồ liên hệ hai biến,Tính toán tổng,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 7
K7E7_10,E7_Bieu_do,So sánh điểm trung bình các lớp 7A 7B 7C tại một thời điểm nên chọn gì,Column chart và đặt tiêu đề rõ ràng,Line chart theo thời gian,Pie chart cho mỗi bạn,Gantt chart,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 7
K7E7_11,E7_Bieu_do,Theo dõi chiều cao một bạn trong mười hai tháng nên chọn gì,Line chart và đánh dấu mốc theo tháng,Column chart nhóm,Pie chart,Bar chart ngang,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 7
K7E7_12,E7_Bieu_do,Cần đọc nhanh giá trị trên từng cột nên làm gì,Thêm Data Labels hoặc dùng Tooltip,Ẩn Legend,Ẩn tiêu đề,Chỉ in trang,B.,Vận dụng,Tin 7 – Chủ đề E – Bài 7
K7E8_01,E8_Thuc_hanh_bao_cao,Trang tính tổng hợp báo cáo thường gồm gì,Tiêu đề bảng và khu vực dữ liệu và biểu đồ,Chỉ có hình nền,Chỉ có âm thanh,Chỉ có video,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 8
K7E8_02,E8_Thuc_hanh_bao_cao,Hàng tiêu đề bảng nên trình bày thế nào,In đậm và căn giữa,Chèn âm thanh,Ẩn hết đường viền,Để phông rất nhỏ,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 8
K7E8_03,E8_Thuc_hanh_bao_cao,Chức năng Wrap Text giúp gì,Nội dung dài xuống dòng trong ô,Tự động tính tổng,Chèn ảnh,Ẩn cột,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 8
K7E8_04,E8_Thuc_hanh_bao_cao,AutoSum thường ở nhóm nào,Home,Insert,Data,Review,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 8
K7E8_05,E8_Thuc_hanh_bao_cao,Trước khi in cần kiểm tra gì,Page Setup và Print Preview,Chủ đề máy tính,Mật khẩu wifi,Chế độ âm lượng,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 8
K7E8_06,E8_Thuc_hanh_bao_cao,Chuẩn hoá kiểu số và ngày tháng giúp gì,Báo cáo dễ đọc và tính đúng,Máy in nhanh hơn,Tệp nhẹ hơn,Thêm hiệu ứng 3D,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 8
K7E8_07,E8_Thuc_hanh_bao_cao,Đặt tiêu đề tệp rõ ràng giúp gì,Dễ tìm kiếm và quản lí phiên bản,Mở nhanh hơn,Thêm âm thanh nền,Giảm dung lượng,B.,Thông hiểu,Tin 7 – Chủ đề E – Bài 8
K7E8_08,E8_Thuc_hanh_bao_cao,Chèn biểu đồ vào báo cáo cần gì,Chọn đúng khối dữ liệu và loại biểu đồ phù hợp,Chèn hình bất kì,Ẩn hết dữ liệu,Chỉ dùng pie chart,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 8
K7E8_09,E8_Thuc_hanh_bao_cao,Lọc dữ liệu trước khi tính toán giúp gì,Tập trung vào phần cần tính cho kết quả đúng,In nhanh hơn,Thêm nhiều Sheet,Tự động tạo công thức,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 8
K7E8_10,E8_Thuc_hanh_bao_cao,Làm báo cáo điểm trung bình theo lớp cần thao tác gì,Sắp xếp theo Lớp rồi tính AVERAGE theo từng lớp,Chèn âm thanh,Ẩn tất cả cột,Chỉ nhập tay,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 8
K7E8_11,E8_Thuc_hanh_bao_cao,Nộp sản phẩm báo cáo cần làm gì,Lưu đúng tên và định dạng rồi xem trước khi in,Chụp màn hình,Giữ tên tệp mơ hồ,Bỏ qua bước xem trước,B.,Vận dụng,Tin 7 – Chủ đề E – Bài 8
K7E8_12,E8_Thuc_hanh_bao_cao,Làm dự án ngắn với bảng tính nên làm gì,Phân công nhập dữ liệu và định dạng và tính toán và chèn biểu đồ,Chỉ một bạn làm tất cả,Bỏ qua kiểm tra lỗi,Không đặt tiêu đề,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 8
K7E9_01,E9_Ham_IF,Ý nghĩa chính của hàm IF,Kiểm tra điều kiện và trả về hai khả năng,Chèn hình ảnh,Tạo biểu đồ,Gộp ô,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 9
K7E9_02,E9_Ham_IF,Cú pháp tổng quát của IF,IF điều kiện giá trị đúng giá trị sai,IF giá trị đúng điều kiện giá trị sai,SUM điều kiện,SORT điều kiện,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 9
K7E9_03,E9_Ham_IF,Điều kiện trong IF cho kết quả,Đúng hoặc sai,Số ngẫu nhiên,Chuỗi kí tự,Địa chỉ ô,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 9
K7E9_04,E9_Ham_IF,IF dùng tốt cho việc nào,Phân loại đạt hay chưa đạt,Tạo biểu đồ đường,Ghép các ô,In trang,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 9
K7E9_05,E9_Ham_IF,Trong IF dấu so sánh thường dùng là gì,Lớn hơn nhỏ hơn bằng,Chỉ dấu cộng,Chỉ dấu chấm,Chỉ dấu phần trăm,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 9
K7E9_06,E9_Ham_IF,Vì sao cần xác định ngưỡng điểm trước khi viết IF,Để đặt điều kiện đúng mục tiêu,Để đổi màu nền,Để chèn hình,Để gộp ô,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 9
K7E9_07,E9_Ham_IF,Khi lồng hai IF mục đích là gì,Xử lí nhiều mức điều kiện,Đếm số ô,Chèn biểu đồ,In nhanh,B.,Thông hiểu,Tin 7 – Chủ đề E – Bài 9
K7E9_08,E9_Ham_IF,IF khác AVERAGE ở điểm nào,IF kiểm tra điều kiện còn AVERAGE tính trung bình,Cả hai giống nhau,IF để vẽ biểu đồ,AVERAGE để so sánh chuỗi,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 9
K7E9_09,E9_Ham_IF,IF thường kết hợp tốt với,So sánh điểm số và ngày tháng,Âm thanh,Ảnh nền,Định dạng phông,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 9
K7E9_10,E9_Ham_IF,Tình huống đánh nhãn Đạt nếu điểm TB lớn hơn hoặc bằng 5 ngược lại Chưa đạt Hàm đúng là,IF diemTB >= 5 Đạt Chưa đạt,IF diemTB > 5 Đạt Chưa đạt,SUM diemTB Đạt Chưa đạt,IF diemTB = 5 Đạt Chưa đạt,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 9
K7E9_11,E9_Ham_IF,Phân loại Học lực Tốt nếu điểm TB >= 8 Khá nếu >= 6 Trung bình nếu >= 5 còn lại Yếu Cách đúng là,Dùng IF lồng theo các mức từ cao xuống thấp,Dùng SUM rồi chia,Dùng SORT tăng dần,Dùng COUNT đơn thuần,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 9
K7E9_12,E9_Ham_IF,Nếu muốn trả về số 1 hoặc 0 khi đạt điều kiện nên viết,IF điều kiện 1 0,IF điều kiện Có Không,SUM điều kiện 1 0,COUNT điều kiện 1 0,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 9
