q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K7B2_05,B2_Thuc_hanh_mxh,Chỉnh sửa thông tin trên trang cá nhân dùng,Edit Profile,Device Manager,Paint,Notepad,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 2
K7B2_06,B2_Thuc_hanh_mxh,Thiết lập riêng tư khi tạo nhóm có các lựa chọn chính nào,Công khai hoặc riêng tư,Chỉ ngoại tuyến,Chỉ nội bộ trường,Chỉ ban giám hiệu,A.,Thông hiểu,Tin 7 – Chủ đề B – Bài 2
K7B2_07,B2_Thuc_hanh_mxh,Vì sao cần đặt mật khẩu đủ mạnh cho tài khoản,Giảm nguy cơ bị chiếm đoạt tài khoản,Tăng tốc độ mạng,Tự động tăng điểm số,Giảm dung lượng ổ đĩa,A.,Thông hiểu,Tin 7 – Chủ đề B – Bài 2
K7B2_08,B2_Thuc_hanh_mxh,Thêm bạn vào nhóm thực hiện bằng,Invite friends gõ tên tài khoản hoặc email,Sao chép tệp hệ thống,Đổi theme thiết bị,Chụp màn hình,B.,Thông hiểu,Tin 7 – Chủ đề B – Bài 2
K7B2_09,B2_Thuc_hanh_mxh,Bước đúng khi đăng bài chia sẻ liên kết là,Mở Create post dán địa chỉ và chọn Post,Đổi mật khẩu rồi tắt máy,Gỡ trình duyệt và cài lại,Nhấn Print ngay,A.,Thông hiểu,Tin 7 – Chủ đề B – Bài 2
K7B2_10,B2_Thuc_hanh_mxh,Tình huống đăng ảnh cá nhân của bạn khác Cách an toàn là,Xin phép trước và tôn trọng cài đặt riêng tư,Đăng công khai ngay,Thêm số điện thoại của bạn vào ảnh,Gắn vị trí nhà riêng,B.,Vận dụng,Tin 7 – Chủ đề B – Bài 2
K7B2_11,B2_Thuc_hanh_mxh,Bạn cần hoàn thiện hồ sơ cá nhân để thầy cô nhận diện Cách làm đúng là,Cập nhật ảnh đại diện ảnh bìa thông tin lớp và lưu,Đặt tên tài khoản khó hiểu,Gỡ bỏ ảnh đại diện,Đổi ngày sinh tuỳ ý,A.,Vận dụng,Tin 7 – Chủ đề B – Bài 2
K7B2_12,B2_Thuc_hanh_mxh,Tạo nhóm học tập trực tuyến hiệu quả gồm bước nào,Tạo nhóm chọn mức riêng tư mời thành viên nêu quy tắc,Kêu gọi mọi người nhắn tin riêng lẻ,Chỉ để tên nhóm không mời ai,Đăng bài trống,B.,Vận dụng,Tin 7 – Chủ đề B – Bài 2
K7B3_01,B3_Trao_doi_thong_tin_mxh,Messenger là chức năng gì của Facebook,Công cụ trò chuyện và liên lạc,Công cụ cài đặt máy in,Trình soạn mã nguồn,Phần mềm diệt virus,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 3
K7B3_02,B3_Trao_doi_thong_tin_mxh,Trong nhóm Facebook ta có thể,Trao đổi chia sẻ nội dung với nhiều thành viên,Chỉ xem mà không đăng,Chỉ dùng ngoại tuyến,Chỉ dùng để in ấn,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 3
K7B3_03,B3_Trao_doi_thong_tin_mxh,Chức năng tạo nhóm nằm ở vị trí nào,Nhấn dấu cộng và chọn Group,Nhấn Print Screen,Nhấn Eject,Nhấn Num Lock,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 3
K7B3_04,B3_Trao_doi_thong_tin_mxh,Thành phần cần nhập khi tạo nhóm là,Tên nhóm và mức riêng tư và mời bạn vào nhóm,Tần số CPU và nhiệt độ,Góc màn hình và độ sáng,Ngày in và số bản,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 3
K7B3_05,B3_Trao_doi_thong_tin_mxh,Hoạt động trao đổi trong nhóm có thể gồm,Đăng bài hỏi đáp chia sẻ tài liệu và thảo luận,Chỉ tắt máy,Chỉ quét mã vạch,Chỉ đổi mật khẩu,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 3
K7B3_06,B3_Trao_doi_thong_tin_mxh,Mục đích của việc dùng nhóm lớp trên mạng xã hội là,Tăng hiệu quả giao tiếp học tập và phối hợp,Giảm điểm số,Chỉ để giải trí,Chỉ để xem quảng cáo,A.,Thông hiểu,Tin 7 – Chủ đề B – Bài 3
K7B3_07,B3_Trao_doi_thong_tin_mxh,Lợi ích của trao đổi chủ đề học tập trong nhóm là,Tổng hợp ý kiến và chia sẻ nguồn học liệu,Giảm tương tác,Chỉ tạo xung đột,Không thể kiểm soát,B.,Thông hiểu,Tin 7 – Chủ đề B – Bài 3
K7B3_08,B3_Trao_doi_thong_tin_mxh,Hậu quả thiếu hiểu biết khi dùng thông tin trên mạng có thể là,Bị lừa đảo bị tấn công riêng tư và áp lực tâm lí,Tự động tăng sức khoẻ,Không thể bị ảnh hưởng,Luôn đúng thông tin,A.,Thông hiểu,Tin 7 – Chủ đề B – Bài 3
K7B3_09,B3_Trao_doi_thong_tin_mxh,Quy tắc ứng xử khi tranh luận trong nhóm nên là,Tôn trọng lịch sự dùng ngôn ngữ phù hợp,Chê bai cá nhân,Đăng thông tin sai,Tiết lộ bí mật lớp,B.,Thông hiểu,Tin 7 – Chủ đề B – Bài 3
K7B3_10,B3_Trao_doi_thong_tin_mxh,Tình huống nhóm thảo luận về biến đổi khí hậu Bước khởi đầu phù hợp là,Tạo nhóm mời thành viên và nêu chủ đề thảo luận,Rời nhóm,Đóng bình luận,Chỉ đăng ảnh không chú thích,A.,Vận dụng,Tin 7 – Chủ đề B – Bài 3
K7B3_11,B3_Trao_doi_thong_tin_mxh,Tình huống cần chia sẻ tệp bài tập cho cả nhóm Cách hiệu quả là,Đăng bài kèm tệp hoặc liên kết nguồn tin cậy,Nhắn riêng từng bạn,Đăng ảnh mờ,Chép vào giấy và gửi bưu điện,A.,Vận dụng,Tin 7 – Chủ đề B – Bài 3
K7B3_12,B3_Trao_doi_thong_tin_mxh,Khi nhận bình luận tiêu cực dưới bài chia sẻ Cách xử lí phù hợp là,Bình tĩnh báo cáo nếu vi phạm và trao đổi với giáo viên,Nói tục đáp trả,Tiết lộ thông tin riêng tư,Huy động bạn bè công kích,A.,Vận dụng,Tin 7 – Chủ đề B – Bài 3
